feature,importance
studytime,3.625035139786823
study_efficiency,3.4184941062477296
school_MS,1.5172274185736287
higher_yes,1.079481388833142
guardian_mother,0.7031560092414572
family_edu_max,0.6097058841108269
reason_reputation,0.6088414037070916
Mjob_health,0.6022784604952988
Fjob_services,0.585012246979445
guardian_other,0.5296282598334288
failures,0.5085803852038442
age,0.4520674212099713
Medu,0.3943269363563132
schoolsup_yes,0.38491561702757665
romantic_yes,0.3731453098158272
internet_yes,0.33750368307456274
Mjob_services,0.32193730083794087
paid_yes,0.27486972920792513
has_failures,0.2550077501996123
Fjob_other,0.2518482909328624
Mjob_teacher,0.24850273313458945
reason_other,0.23705859768195361
address_U,0.19805430236473576
sex_M,0.17732434889195206
famsup_yes,0.1771624410734637
Dalc,0.16535057385017504
family_edu_avg,0.15840767786669657
reason_home,0.12245004271924911
freetime,0.10352095576315297
traveltime,0.10316628758637157
famsize_LE3,0.0937653682757445
activities_yes,0.08646795213960039
Fedu,0.07751158062291888
health,0.07487100667266278
famrel,0.06342773874155831
Fjob_teacher,0.05244148885155156
absences,0.05041707647738197
Fjob_health,0.04467484836729737
goout,0.037707096402764234
Pstatus_T,0.033783005209633
Walc,0.030977338019906632
nursery_yes,0.021735666632489704
Mjob_other,0.02125022449269505
attendance_rate,0.0010493990301032475
